################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.3318845159163950E+00 a       356     0    15     1     6
 -3.4633216052264850E+00 a       357     0    15     1     7
  1.3773944769940718E+00 a       358     0    15     1     8
  1.2621145253547348E+00 a       359     0    15     1     9
 -8.0127134743477164E+00 a       360     0    15     1    10
  4.5927753018293247E+00 a       361     0    15     1    11
  2.7889298840139372E+00 a       362     0    15     1    12
 -3.4115459532333805E+00 a       363     0    15     1    13
  1.2119509214000432E+00 a       364     0    15     1    14
  5.7749257823324323E+00 a       365     0    15     1    15
  3.4082128108569982E+00 a       366     0    15     1    16
 -3.6372489624117401E+00 a       367     0    15     1    17
  8.5140111217960923E-01 a       368     0    15     1    18
  4.2320057076132911E-01 a       369     0    15     1    19
 -3.1160152969317396E+00 a       370     0    15     1    20
  1.9275700539441030E+00 a       371     0    15     1    21
  3.8756362444249945E+00 a       372     0    15     1    22
 -1.9901795421221935E+00 a       373     0    15     1    23
 -2.7878217642839060E+00 a       374     0    15     1    24
 -2.0694185294127174E+00 a       375     0    15     1    25
  7.9264315117059031E-02 a       376     0    16     1     1
 -2.9785644834781526E+00 a       377     0    16     1     2
 -1.2841423604157043E-01 a       378     0    16     1     3
 -3.9902299333279636E+00 a       379     0    16     1     4
  8.0624590606116209E-01 a       380     0    16     1     5
 -1.5458835321427158E-01 a       381     0    16     1     6
 -3.4037909269776495E-01 a       382     0    16     1     7
 -8.5072202710745337E-01 a       383     0    16     1     8
 -3.7451834142514984E-01 a       384     0    16     1     9
  5.1555328007660189E-02 a       385     0    16     1    10
 -6.2889929263275568E-01 a       386     0    16     1    11
 -1.0439261927222061E+00 a       387     0    16     1    12
 -6.8446953756261564E-01 a       388     0    16     1    13
 -1.7935539101038189E-01 a       389     0    16     1    14
  2.0504724824861058E+00 a       390     0    16     1    15
 -2.6236519682554971E-01 a       391     0    16     1    16
 -8.9669552529148600E-01 a       392     0    16     1    17
 -2.9435593723767023E-01 a       393     0    16     1    18
 -4.5148467929355931E+00 a       394     0    16     1    19
  1.8096583508543844E+00 a       395     0    16     1    20
  8.8428024164806873E-01 a       396     0    16     1    21
  7.3395728676325184E-02 a       397     0    16     1    22
  8.9045003070581441E-01 a       398     0    16     1    23
  1.7263179834806961E+00 a       399     0    16     1    24
  4.6449673879774327E+00 a       400     0    16     1    25
 -1.8313389509633002E+00 a       401     0    17     1     1
 -1.5227836576038176E+00 a       402     0    17     1     2
 -2.3920375692100704E+00 a       403     0    17     1     3
  5.9801591240427392E+00 a       404     0    17     1     4
  1.4608728723370259E+00 a       405     0    17     1     5
  8.0901839235601302E-03 a       406     0    17     1     6
  3.4250608596116554E+00 a       407     0    17     1     7
 -4.1757696186887260E-02 a       408     0    17     1     8
 -9.8600532589140588E-01 a       409     0    17     1     9
  6.8280680193853147E+00 a       410     0    17     1    10
 -1.2476778655763114E+00 a       411     0    17     1    11
 -3.3162989758100241E+00 a       412     0    17     1    12
  2.0678353386905393E+00 a       413     0    17     1    13
 -3.6571561318290663E-01 a       414     0    17     1    14
 -5.2603904930943584E+00 a       415     0    17     1    15
 -3.3064113876107983E+00 a       416     0    17     1    16
  3.1735886884965625E+00 a       417     0    17     1    17
 -2.2839216768153728E-01 a       418     0    17     1    18
  2.9375639848949282E+00 a       419     0    17     1    19
  7.3900667280094678E-01 a       420     0    17     1    20
 -2.3437161206686072E+00 a       421     0    17     1    21
 -5.1457841381002041E+00 a       422     0    17     1    22
  9.4757678638104281E-01 a       423     0    17     1    23
  5.9440560546565470E-02 a       424     0    17     1    24
 -6.8545823578870846E-01 a       425     0    17     1    25
 -1.3748075298646674E+00 a       426     0    18     1     1
 -2.7203253013985802E+00 a       427     0    18     1     2
 -5.8817107046624697E+00 a       428     0    18     1     3
  1.4187329628031485E+01 a       429     0    18     1     4
  1.0255553109724660E+00 a       430     0    18     1     5
 -8.7200135124251354E-01 a       431     0    18     1     6
  1.5236932903949092E+00 a       432     0    18     1     7
  6.3516141105929247E+00 a       433     0    18     1     8
  8.0691337034337640E-01 a       434     0    18     1     9
  3.3173384146254845E+00 a       435     0    18     1    10
 -2.9834501899953287E+00 a       436     0    18     1    11
  1.6909259280236681E+00 a       437     0    18     1    12
  2.4191263991425149E+00 a       438     0    18     1    13
  5.6844312775268051E+00 a       439     0    18     1    14
 -8.9407832589280645E+00 a       440     0    18     1    15
  2.0869971962061280E+00 a       441     0    18     1    16
  2.7307680235905498E+00 a       442     0    18     1    17
  5.5087377230764056E-01 a       443     0    18     1    18
  5.7118487932554451E+00 a       444     0    18     1    19
 -1.1162664588578626E+00 a       445     0    18     1    20
 -3.9922450976506054E+00 a       446     0    18     1    21
 -3.0496242864448684E+00 a       447     0    18     1    22
  2.7300306312794098E+00 a       448     0    18     1    23
 -1.8270016239799798E+00 a       449     0    18     1    24
 -1.0929261538976794E+01 a       450     0    18     1    25
  1.6549677517719796E+00 a       451     0    19     1     1
  1.0868007476543853E+00 a       452     0    19     1     2
 -1.1383352211608930E+00 a       453     0    19     1     3
 -1.9085136274015937E+00 a       454     0    19     1     4
 -1.0510933829724376E+00 a       455     0    19     1     5
 -1.8334040176112845E+00 a       456     0    19     1     6
  1.1079387599234420E+00 a       457     0    19     1     7
  2.1264643329958535E+00 a       458     0    19     1     8
  8.7775173022279207E-01 a       459     0    19     1     9
 -8.4685549273374749E-01 a       460     0    19     1    10
 -1.4950039114562794E-01 a       461     0    19     1    11
  6.2564789010891853E-01 a       462     0    19     1    12
  7.2469502431116173E-01 a       463     0    19     1    13
 -1.8433308590351818E-01 a       464     0    19     1    14
 -1.3075549818006466E-01 a       465     0    19     1    15
  5.0283735375903174E+00 a       466     0    19     1    16
  2.2442228076257780E+00 a       467     0    19     1    17
  6.0343955390978782E-02 a       468     0    19     1    18
 -1.1356531996584449E+00 a       469     0    19     1    19
 -4.0166665194045459E+00 a       470     0    19     1    20
 -4.7625481781967394E-01 a       471     0    19     1    21
 -9.4642095901070278E-01 a       472     0    19     1    22
 -6.9150561517263942E-01 a       473     0    19     1    23
 -3.6251008974072580E+00 a       474     0    19     1    24
 -3.1699508235925702E+00 a       475     0    19     1    25
  2.9112558042945409E+00 a       476     0    20     1     1
  4.1282090892447290E+00 a       477     0    20     1     2
  1.6066622520216052E+00 a       478     0    20     1     3
 -1.3237548951418868E+01 a       479     0    20     1     4
 -3.1566633190416016E+00 a       480     0    20     1     5
 -1.5360894039740272E+00 a       481     0    20     1     6
 -1.3815293687307926E+00 a       482     0    20     1     7
 -1.5967097704144697E+00 a       483     0    20     1     8
  1.8348098669063420E+00 a       484     0    20     1     9
 -5.1108322983695444E+00 a       485     0    20     1    10
  3.4453587569372677E+00 a       486     0    20     1    11
  2.1093890470107941E+00 a       487     0    20     1    12
  2.6121694311792620E-01 a       488     0    20     1    13
 -5.1944878323999655E+00 a       489     0    20     1    14
  7.6302553365153383E+00 a       490     0    20     1    15
  7.5752586400566742E+00 a       491     0    20     1    16
  2.4520892762470194E+00 a       492     0    20     1    17
 -8.6116057409664093E-01 a       493     0    20     1    18
 -4.8576136049625536E+00 a       494     0    20     1    19
 -5.9145097822367632E+00 a       495     0    20     1    20
  3.0711504059296821E+00 a       496     0    20     1    21
  7.9724487546959566E-01 a       497     0    20     1    22
 -3.7417269426725874E+00 a       498     0    20     1    23
 -4.5010651135506219E+00 a       499     0    20     1    24
  2.6044041662166038E+00 a       500     0    20     1    25
  4.1255110268756185E+00 a       501     0    21     1     1
  6.1286847259391726E+00 a       502     0    21     1     2
